WN,WP,VDD,CL,VTO_SHIFT,sample_id,tpdhl,tpdlh,trise,tfall,iavg,avg_power_w,sim_ok
3.602643273980523e-06,6.71602625512659e-06,1.5466184586470935,1.6369721230268878e-13,0.011982179278637761,817,1.356706e-10,1.455479e-10,3.254748e-10,3.034448e-10,-2.559674e-05,3.9588390565190406e-05,True
2.0725535994819543e-06,1.2632638021651037e-06,1.3219590426290453,1.8883953655447242e-13,-0.014094949615932446,818,3.313002e-10,1.129825e-09,2.463465e-09,7.507993e-10,-2.182293e-05,2.884901965016067e-05,True
2.2311740450938526e-06,2.889920986267823e-06,1.3491752772041503,6.050370659633638e-14,0.04320831484692997,819,1.101542e-10,1.700251e-10,3.657331e-10,2.369275e-10,-8.20481e-06,1.1069726806157385e-05,True
3.857635143973502e-06,5.411650004653053e-06,1.1881598151272523,1.3066051264352936e-13,0.03343328328354793,820,1.742918e-10,2.484791e-10,5.215894e-10,3.659037e-10,-1.555181e-05,1.8478035694494152e-05,True
2.4990900617743602e-06,7.4481555308242346e-06,1.732168201259379,1.8734527575601504e-13,-0.016935244889689505,821,1.784168e-10,1.197747e-10,2.749475e-10,4.096117e-10,-3.298908e-05,5.7142635364801755e-05,True
6.116800767874744e-07,2.2286200871645843e-06,1.21292544580793,1.3254848111822848e-13,-0.02155296321237354,822,9.358953e-10,5.12473e-10,1.115627e-09,2.032359e-09,-1.593413e-05,1.932691173381151e-05,True
1.7152906594412487e-06,3.7589374573331977e-06,1.3715257311262887,9.647586255255214e-14,0.044616542598647016,823,2.218076e-10,2.024356e-10,4.36683e-10,4.784916e-10,-1.327768e-05,1.8210679769660903e-05,True
3.646971100460585e-06,1.3268937058986288e-06,1.7650948403783902,4.577983649844495e-14,-0.007635868963027745,824,1.968474e-11,1.715339e-10,3.707189e-10,6.767251e-11,-8.311353e-06,1.4670326296863454e-05,True
3.7724988551053083e-06,5.406386165976262e-06,1.0901723448709821,1.8650418583748787e-13,-0.02971931722082529,825,2.575168e-10,3.593686e-10,7.6631e-10,5.491408e-10,-2.035478e-05,2.2190218241932968e-05,True
3.6078817041784325e-06,1.9961172389109567e-06,1.0479356047962922,8.012208311555555e-14,-0.0077025145832980355,826,1.337494e-10,4.833812e-10,1.007364e-09,2.786787e-10,-8.368677e-06,8.76983459333982e-06,True
6.54875675455868e-07,2.728049889997721e-06,1.183861051572157,1.6685683330495607e-13,0.02086673666094542,827,1.279145e-09,6.0413e-10,1.296979e-09,2.701397e-09,-1.92556e-05,2.2795954864652826e-05,True
1.7001153251633965e-06,6.370077371922643e-06,1.5341116786480584,1.4679101987225963e-13,0.01751545142720301,828,2.637843e-10,1.408547e-10,3.138876e-10,5.87927e-10,-2.269754e-05,3.4820561190581454e-05,True
2.2683886982276215e-06,4.03947736720067e-06,1.230786295901014,8.300913873823238e-14,0.015374479228737845,829,1.674495e-10,1.88058e-10,4.019304e-10,3.578913e-10,-1.025074e-05,1.261647031484436e-05,True
5.409175611585926e-07,5.810122611625725e-06,1.1400488179470407,1.1644656942623309e-14,0.010711960627096298,830,1.239674e-10,1.150285e-11,4.622998e-11,2.399027e-10,-1.340346e-06,1.528059872940044e-06,True
2.3769967959952677e-06,1.3864902847346843e-06,1.5444874414817105,1.6054581170561792e-13,0.04890862890032331,831,2.051165e-10,7.475444e-10,1.626036e-09,4.742558e-10,-2.377304e-05,3.671716172584236e-05,True
2.483186757456727e-06,5.119354476556447e-06,1.7438462134173898,1.6145771218540855e-13,-0.03600300978626275,832,1.49339e-10,1.448414e-10,3.34816e-10,3.450973e-10,-2.866138e-05,4.99810389843169e-05,True
3.2496476985974956e-06,2.7159150579654003e-06,1.5240921652760409,1.4544570637605363e-13,-0.008114765040135502,833,1.225416e-10,3.270643e-10,7.127324e-10,2.978751e-10,-2.235152e-05,3.406577651401073e-05,True
6.005895819434622e-07,1.5795533005254375e-06,1.5724024460580535,1.3520125939295143e-13,-0.010483925009524615,834,6.305105e-10,4.794284e-10,1.083973e-09,1.42542e-09,-2.115556e-05,3.3265054291727914e-05,True
1.89719641665944e-06,5.586372661590822e-06,1.5395333843296275,1.1041638659803165e-13,-0.03968164659404523,835,1.611591e-10,1.095096e-10,2.493333e-10,3.669919e-10,-1.727482e-05,2.6595162098285138e-05,True
1.93109733201521e-06,4.932826422047229e-06,1.3601720040923988,1.722065968832495e-13,-0.003546729741503246,836,3.240766e-10,2.537491e-10,5.585034e-10,7.132872e-10,-2.351706e-05,3.1987246630561186e-05,True
2.2763915191760043e-06,2.4876320141314002e-06,1.1702658184819035,6.748436982306488e-14,0.030901191343660275,837,1.565713e-10,2.865092e-10,5.999841e-10,3.279134e-10,-7.910024e-06,9.256830710571499e-06,True
1.603976489332294e-06,7.009251325170722e-06,1.2032836815800452,1.640444146395855e-14,0.020128665654057035,838,4.960213e-11,2.291422e-11,4.878821e-11,1.050526e-10,-2.005078e-06,2.412677637695154e-06,True
3.1506184331391584e-06,4.636068462776423e-06,1.1961957879900202,1.3505976462872936e-13,0.010505820362884721,839,2.05293e-10,2.79033e-10,5.940642e-10,4.370963e-10,-1.619115e-05,1.9367785432714618e-05,True
2.7823772759931187e-06,7.67242323617747e-06,1.3155097031435816,1.8954387070187294e-13,-0.026652904793915855,840,2.510048e-10,1.820702e-10,4.024346e-10,5.547838e-10,-2.508491e-05,3.299944250748346e-05,True
3.717597959111489e-06,4.502975261622025e-06,1.5531148948188211,1.6243208153321127e-13,-0.0014094309930237983,841,1.267617e-10,2.092606e-10,4.706098e-10,2.850865e-10,-2.550038e-05,3.9605020001539966e-05,True
2.6313982799600616e-06,7.161430548591109e-06,1.3135601749989332,1.1219158292677461e-13,-0.0028960531580167898,842,1.653354e-10,1.21549e-10,2.656777e-10,3.613946e-10,-1.484289e-05,1.9497029185889918e-05,True
2.643638082344766e-06,2.6361910025026645e-06,1.0137821902268562,2.7740284824113278e-14,0.04446577384955128,843,8.091264e-11,1.622058e-10,3.234592e-10,1.614323e-10,-2.812487e-06,2.85124923084456e-06,True
1.0717886400220804e-06,4.924512206173386e-06,1.4435532487744147,1.0434057039110427e-13,-0.01895245569005201,844,3.09936e-10,1.349257e-10,3.020089e-10,6.936186e-10,-1.51889e-05,2.192598594030971e-05,True
3.5826652844040664e-06,4.967407868623629e-06,1.417839304829242,1.6435730216934452e-13,0.03893227764806277,845,1.678998e-10,2.42156e-10,5.27267e-10,3.656129e-10,-2.340953e-05,3.3190951741579284e-05,True
3.746539751394174e-06,6.3064705089340154e-06,1.0631355361821913,1.261751462346997e-13,-0.03153345235339999,846,1.836756e-10,2.182351e-10,4.631837e-10,3.898415e-10,-1.344815e-05,1.4297206160908534e-05,True
3.879291263386375e-06,7.3396980005096264e-06,1.6086550425890938,9.500916860993048e-14,0.02479690009024639,847,6.992918e-11,7.386032e-11,1.655005e-10,1.565823e-10,-1.562157e-05,2.512971735365851e-05,True
3.5275043182393545e-06,3.3508703520900815e-06,1.1871363651109368,5.369160186304012e-14,-0.011424037051111544,848,7.02438e-11,1.477478e-10,3.176945e-10,1.508589e-10,-6.420592e-06,7.62211824874036e-06,True
2.5337134239271014e-06,7.864648504832682e-06,1.4655152886746534,1.349066806991281e-13,0.03819594900714972,849,1.830129e-10,1.179639e-10,2.585949e-10,4.012239e-10,-1.991578e-05,2.9186880075880886e-05,True
7.89462218516256e-07,3.097716522119377e-06,1.0264736437891049,1.0703058038735872e-13,0.029835098909342328,850,9.635589e-10,4.90559e-10,9.92987e-10,1.9481e-09,-1.093768e-05,1.1227240244199217e-05,True
3.7353138656620044e-06,3.956909806198233e-06,1.5042711980381862,1.657020942875119e-14,-0.022414030980704127,851,1.355348e-11,2.48871e-11,5.646319e-11,3.260287e-11,-2.755335e-06,4.144771081446546e-06,True
2.9586724855766268e-06,2.9317086704263766e-06,1.7952935557022296,1.277381083921631e-13,-0.029840106017860676,852,8.60583e-11,2.030919e-10,4.470281e-10,2.215907e-10,-2.343805e-05,4.207818012322664e-05,True
3.332933883698597e-06,2.528357825807136e-06,1.6216342224601314,1.8371937740810067e-13,-0.04816668254313998,853,1.290173e-10,3.763585e-10,8.425327e-10,3.196028e-10,-3.005036e-05,4.873069217324703e-05,True
2.1116360741230735e-06,5.7869184179961106e-06,1.6773853205550093,1.888868941694253e-13,-0.0004776886418218912,854,2.291277e-10,1.67235e-10,3.802923e-10,5.210298e-10,-3.201754e-05,5.370575159628283e-05,True
1.1953424811411653e-06,6.916235436029306e-06,1.3276364095464583,2.5057769394620758e-14,0.024707209193849625,855,8.445848e-11,2.946552e-11,6.370071e-11,1.827188e-10,-3.387161e-06,4.496918268595791e-06,True
2.510465671609589e-06,3.82015151883562e-06,1.5768623781814353,1.9819527016132555e-13,-0.014520626130952306,856,2.187575e-10,2.874923e-10,6.511211e-10,4.9543e-10,-3.148563e-05,4.964850540034074e-05,True
7.606139980047281e-07,5.039435269348778e-06,1.7087230351227343,1.1831358777177478e-13,0.03177511238499048,857,4.150773e-10,1.12337e-10,2.760082e-10,9.140153e-10,-2.03707e-05,3.4807884331574685e-05,True
2.395364635966584e-06,3.0672099636828897e-06,1.3657817280605995,1.6906466698136899e-13,-0.008430097876581562,858,2.522192e-10,3.939118e-10,8.69503e-10,5.56699e-10,-2.313209e-05,3.159338585385331e-05,True
6.710944936511757e-07,5.5165366416380655e-06,1.5236836908131237,1.7418080911512754e-13,0.027389106183393394,859,8.259331e-10,1.883427e-10,4.403316e-10,1.809544e-09,-2.660556e-05,4.053845785695001e-05,True
2.806575574335832e-06,3.4304744109176956e-06,1.292314013791343,9.885793381135562e-14,-0.025563777647024555,860,1.342716e-10,2.196841e-10,4.837704e-10,2.957217e-10,-1.286609e-05,1.662702840970066e-05,True
3.4688310515104646e-06,3.0119969323469146e-06,1.2949760457748085,1.6290731445528015e-14,-0.01736573935821232,861,1.858229e-11,4.195227e-11,9.199429e-11,4.162792e-11,-2.201441e-06,2.85081336118654e-06,True
2.7500945364306995e-06,4.8834192917607655e-06,1.4779903492593773,3.4889672790305826e-14,-0.03840889809004797,862,3.779901e-11,4.249619e-11,9.583558e-11,8.528208e-11,-5.405448e-06,7.989199977423402e-06,True
2.6563073182502516e-06,5.464686962928728e-06,1.5987569490529618,1.4757461743300042e-13,0.044519510839770224,863,1.652256e-10,1.606614e-10,3.569494e-10,3.671712e-10,-2.379083e-05,3.803575478623768e-05,True
8.17534401944753e-07,2.678930882066946e-06,1.7747476687050254,4.362827566172272e-14,0.04108031219286132,864,1.323616e-10,8.085004e-11,1.828399e-10,2.993464e-10,-7.885716e-06,1.3995156087069919e-05,True
5.923944243830418e-07,7.3100672256948835e-06,1.302962188368428,1.527767549464035e-13,0.0009258163904941191,865,1.033242e-09,1.550028e-10,3.613572e-10,2.229228e-09,-1.989163e-05,2.5918041755015073e-05,True
6.883387962731993e-07,4.676761747808054e-06,1.5871562348303754,1.200138493513211e-13,-0.0109103738940442,866,4.906525e-10,1.315428e-10,3.204223e-10,1.088285e-09,-1.9179e-05,3.044006942781177e-05,True
3.789443778085979e-06,7.2125715112564205e-06,1.7760043213414518,1.925166525201473e-13,0.010312079417246378,867,1.206914e-10,1.267971e-10,2.895907e-10,2.75671e-10,-3.479306e-05,6.179262491269241e-05,True
1.56197135299666e-06,2.358692394458392e-06,1.030276779784397,9.851129873468099e-14,-0.04017087699284392,868,3.57905e-10,4.740077e-10,1.004172e-09,7.582089e-10,-1.011275e-05,1.0418931504764661e-05,True
1.0574658048796857e-06,3.223988582595905e-06,1.2152543201058261,4.746058347027394e-14,0.0034385247538732747,869,2.0472e-10,1.343169e-10,2.880047e-10,4.390765e-10,-5.790673e-06,7.037140379570164e-06,True
2.076478885607734e-06,6.398938357133774e-06,1.2089588824723785,6.436772619570839e-14,0.0475331381450869,870,1.593681e-10,1.034499e-10,2.164061e-10,3.332956e-10,-7.801915e-06,9.432194439544486e-06,True
2.1800323393254737e-06,2.1111468134511233e-06,1.3560076279993416,1.1085382043565036e-13,0.02246650214292918,871,1.95805e-10,4.043481e-10,8.79127e-10,4.256777e-10,-1.504837e-05,2.040570450895645e-05,True
5.487294013880309e-07,2.076512808343195e-06,1.229891179682544,1.7085900521691795e-13,-0.00012779826874576017,872,1.375701e-09,7.061558e-10,1.566197e-09,2.963379e-09,-1.994868e-05,2.453470557830957e-05,True
1.6902094417675958e-06,1.4257538200790076e-06,1.297648168494354,9.247870275021447e-14,0.021212055053254117,873,2.285764e-10,5.418801e-10,1.168121e-09,4.927319e-10,-1.189316e-05,1.543313729161031e-05,True
1.7265781911663932e-06,2.674737601022251e-06,1.384118656519874,1.0038819841479849e-13,-0.028322141773496873,874,1.954919e-10,2.523859e-10,5.63139e-10,4.361752e-10,-1.39893e-05,1.9362851121653474e-05,True
3.381488543628057e-06,7.591994675559669e-06,0.9153872448791596,1.49536319869294e-14,-0.03801019659728387,875,3.280422e-11,2.92966e-11,6.001319e-11,6.733158e-11,-1.376377e-06,1.2599179499450431e-06,True
3.4781369756338883e-06,7.94715934035356e-06,0.9944120891313908,1.322558507428685e-13,-0.029121642324828074,876,2.404537e-10,2.104805e-10,4.389131e-10,5.014117e-10,-1.316949e-05,1.309590006369496e-05,True
1.3380271218066479e-06,3.4486344504505213e-06,1.1944344650651877,6.63511290500973e-14,0.03218297765506599,877,2.515149e-10,1.951646e-10,4.105348e-10,5.290128e-10,-7.939107e-06,9.482743022640289e-06,True
